A01,fibl_000067_01
B01,fibl_000070_01
C01,fibl_000043_01
D01,fibl_000033_01
E01,fibl_000031_01
F01,fibl_000009_01
G01,fibl_000021_01
H01,fibl_000020_01
A02,fibl_000006_01
B02,fibl_000028_01
C02,fibl_000005_01
D02,fibl_000073_01
E02,fibl_000041_01
F02,fibl_000045_01
G02,fibl_000024_01
H02,fibl_000039_01
A03,fibl_000022_01
B03,fibl_000059_01
C03,fibl_000077_01
D03,fibl_000014_01
E03,
F03,
G03,
H03,
A04,
B04,
C04,
D04,
E04,
F04,
G04,
H04,
A05,
B05,
C05,
D05,
E05,
F05,
G05,
H05,
A06,
B06,
C06,
D06,
E06,
F06,
G06,
H06,
A07,
B07,
C07,
D07,
E07,
F07,
G07,
H07,
A08,
B08,
C08,
D08,
E08,
F08,
G08,
H08,
A09,
B09,
C09,
D09,
E09,
F09,
G09,
H09,
A10,
B10,
C10,
D10,
E10,
F10,
G10,
H10,
A11,
B11,
C11,
D11,
E11,
F11,
G11,
H11,
A12,
B12,
C12,
D12,
E12,
F12,
G12,
H12,
